date,date_raw,status,score,coverage,keywords,title,url
2014-05-23,2014-05-23T16:14:01+02:00,200,0.3683,50.00%,terrassenfliesen reinigen,wie kann man am besten long board rollen reinigen?,https://www.gutefrage.net/frage/wie-longboard-rollen-reinigen
2014-03-14,2014-03-14T10:10:18+01:00,200,0.3583,50.00%,terrassenfliesen reinigen,"hi, wie kann ich mein total verußtes fahrrad nach brand reinigen?",https://www.gutefrage.net/frage/hi-wie-kann-ich-mein-total-verusstes-fahrrad--nach-brand-reinigen
2014-02-01,2014-02-01T19:24:01+01:00,200,0.4514,66.67%,holz klickfliesen balkon,wie hoch können frettchen springen?,https://www.gutefrage.net/frage/wie-hoch-koennen-frettchen-springen
2013-11-09,2013-11-09T22:12:26+01:00,200,0.3787,50.00%,terrassenfliesen reinigen,wie kann ich meine handschuhe säubern / waschen / reinigen?,https://www.gutefrage.net/frage/wie-kann-ich-meine-handschuhe-saeubern--waschen--reinigen
2013-11-07,2013-11-07T17:04:49+01:00,200,0.4583,66.67%,akazienholz terrasse pflege,wer ist für den garten zuständig?,https://www.gutefrage.net/frage/wer-ist-fuer-den-garten-zustaendig
2013-06-16,2013-06-16T11:47:50+02:00,200,0.4810,66.67%,klickfliesen reinigen balkon,"was hilft gegen uringeruch auf dem balkon,",https://www.gutefrage.net/frage/was-hilft-gegen-uringeruch-auf-dem-balkon
2013-05-03,2013-05-03T10:42:37+02:00,200,0.3676,50.00%,terrassenfliesen reinigen,wie reinige ich chrom am auto,https://www.gutefrage.net/frage/wie-reinige-ich-chrom-am-auto
2013-01-14,2013-01-14T12:31:28+01:00,200,0.5086,66.67%,balkon bodenbelag fliesen | holz klickfliesen balkon,wer hat erfahrung mit wpc-fliesen für den balkon?,https://www.gutefrage.net/frage/wer-hat-erfahrung-mit-wpc-fliesen-fuer-den-balkon-
2013-01-02,2013-01-02T11:24:37+01:00,200,0.5760,66.67%,balkon bodenbelag fliesen,welchen bodenbelag kann man auf vorhandene fliesen verlegen ohne die fliesen zu entfernen.,https://www.gutefrage.net/frage/welchen-bodenbelag-kann-man-auf-vorhandene-fliesen-verlegen-ohne-die-fliesen-zu-entfernen
2012-07-31,2012-07-31T16:16:20+02:00,200,0.4524,50.00%,balkonboden holzfliesen,holzfliesen reinigen,https://www.gutefrage.net/frage/holzfliesen-reinigen
2012-07-15,2012-07-15T12:13:18+02:00,200,0.4839,66.67%,holz klickfliesen balkon,brandfleck auf balkonholzdiele. was tun?,https://www.gutefrage.net/frage/brandfleck-auf-balkonholzdiele-was-tun
2012-07-13,2012-07-13T00:01:44+02:00,200,0.3962,50.00%,terrassenfliesen reinigen,was kann ich nehmen zum reinigen einer mechanischen uhr?,https://www.gutefrage.net/frage/was-kann-ich-nehmen-zum-reinigen-einer-mechanischen-uhr
2012-07-13,2012-07-13T00:32:42+02:00,200,0.3833,50.00%,terrassenfliesen reinigen,kontaktlinsenbehälter wie reinigen?,https://www.gutefrage.net/frage/kontaktlinsenbehaelter-wie-reinigen-
2012-05-15,2012-05-15T14:39:17+02:00,200,0.4089,50.00%,terrassenfliesen reinigen,wie reinige ich einen vergaser?,https://www.gutefrage.net/frage/wie-reinige-ich-einen-vergaser
2012-01-28,2012-01-28T16:09:45+01:00,200,0.3720,50.00%,terrassenfliesen reinigen,wie oft sollte man das katzenklo reinigen?,https://www.gutefrage.net/frage/wie-oft-sollte-man-das-katzenklo-reinigen
2011-10-19,2011-10-19T11:37:33+02:00,200,0.4801,50.00%,terrassenfliesen akazie,helle terrassenplatten terrassenfliesen flecken entfernen,https://www.gutefrage.net/frage/helle-terrassenplatten-terrassenfliesen--flecken-entfernen
2011-07-07,2011-07-07T16:33:39+02:00,200,0.4590,66.67%,klickfliesen terrasse holz,was kostet der qm bangkirai + verlegen?,https://www.gutefrage.net/frage/was-kostet-der-qm-bangkirai--verlegen
2011-04-15,2011-04-15T21:26:26+02:00,200,0.4974,66.67%,balkon bodenbelag fliesen,kann man fliesen direkt auf beton legen?,https://www.gutefrage.net/frage/kann-man-fliesen-direkt-auf-beton-legen
2011-04-06,2011-04-06T22:49:24+02:00,200,0.3550,50.00%,terrassenfliesen reinigen,"wie kann man am besten, flachbildschirme reinigen?",https://www.gutefrage.net/frage/wie-kann-man-am-besten-flachbildschirme-reinigen
2011-04-03,2011-04-03T20:03:00+02:00,200,0.6238,100.00%,balkon bodenbelag fliesen,wie riss im steinteppich ausbessern?,https://www.gutefrage.net/frage/wie-riss-im-steinteppich-ausbessern-
2011-03-15,2011-03-15T20:00:47+01:00,200,0.3597,50.00%,terrassenfliesen reinigen,"wie einen sehr dreckigen backofen reinigen? mit klebrigen fettstellen, eingebrannten sachen & wie",https://www.gutefrage.net/frage/wie-einen-sehr-dreckigen-backofen-reinigen-mit-klebrigen-fettstellen-eingebrannten-sachen--wie-
2010-09-29,2010-09-29T19:08:01+02:00,200,0.3620,50.00%,terrassenfliesen reinigen,"wie kann ich meine jacke reinigen, wenn man sie nicht waschen darf?",https://www.gutefrage.net/frage/wie-kann-ich-meine-jacke-reinigen-wenn-man-sie-nicht-waschen-darf
2010-08-20,2010-08-20T12:03:05+02:00,200,0.4653,66.67%,balkon bodenbelag fliesen,balkonsanierung: was kommt da am besten drauf?,https://www.gutefrage.net/frage/balkonsanierung-was-kommt-da-am-besten--drauf
2010-08-17,2010-08-17T21:59:05+02:00,200,0.3722,50.00%,terrassenfliesen reinigen,wie schmuck mit edelsteinen am besten reinigen?,https://www.gutefrage.net/frage/wie-schmuck-mit-edelsteinen-am-besten-reinigen
2010-07-19,2010-07-19T13:03:57+02:00,200,0.4667,66.67%,holz klickfliesen balkon,mit wie viel kilogramm gewicht ist ein balkon belastbar?,https://www.gutefrage.net/frage/mit-wieviel-kilogramm-gewicht-ist-ein-balkon-belastbar
2010-06-30,2010-06-30T22:08:14+02:00,200,0.5030,66.67%,balkon bodenbelag fliesen,fliesen legen! was kostet das?,https://www.gutefrage.net/frage/fliesen-legen-was-kostet-das
2010-05-10,2010-05-10T09:13:15+02:00,200,0.3764,50.00%,terrassenfliesen reinigen,womit kann man ein leeres aquarium reinigen?,https://www.gutefrage.net/frage/leeres-aquarium-reinigen
2010-04-04,2010-04-04T10:29:36+02:00,200,0.3718,50.00%,terrassenfliesen reinigen,wie reinige ich euromünzen am besten?,https://www.gutefrage.net/frage/wie-reinige-ich-euromuenzen-am-besten
2010-03-13,2010-03-13T12:19:24+01:00,200,0.3788,50.00%,terrassenfliesen reinigen,motorradkette reinigen? wie?,https://www.gutefrage.net/frage/motorradkette-reinigen-wie
2010-01-18,2010-01-18T12:09:39+01:00,200,0.5462,66.67%,balkon bodenbelag fliesen,was kostet es einen balkon von ca 8 qm neu fliesen zu lassen?,https://www.gutefrage.net/frage/was-kostet-es-einen-balkon-von-ca-8-qm-neu-fliesen-zu-lassen
2009-12-09,2009-12-09T20:28:52+01:00,200,0.3659,50.00%,terrassenfliesen reinigen,"kugelschreiber ausgelaufen,-wie die finger reinigen?",https://www.gutefrage.net/frage/kugelschreiber-ausgelaufen-wie-die-finger-reinigen
2009-11-22,2009-11-22T12:59:20+01:00,200,0.3798,50.00%,terrassenfliesen reinigen,"angebrannten topf reinigen, aber wie?",https://www.gutefrage.net/frage/angebrannten-topf-reinigen-aber-wie
2009-10-09,2009-10-09T12:19:48+02:00,200,0.4696,66.67%,holzfliesen balkon pflege,was für winterharte balkonpflanzen gibt es?,https://www.gutefrage.net/frage/was-fuer-winterharte-balkonpflanzen-gibt-es
2009-08-08,2009-08-08T19:48:35+02:00,200,0.3871,50.00%,terrassenfliesen reinigen,wie kann ich 925 silber reinigen?,https://www.gutefrage.net/frage/wie-kann-ich-925-silber-reinigen
2009-07-13,2009-07-13T10:47:06+02:00,200,0.4513,66.67%,holzfliesen balkon pflege,"maine coon katze, wie ist der charakter?",https://www.gutefrage.net/frage/maine-coon-katze-wie-ist-der-charakter
2009-03-18,2009-03-18T16:07:13+01:00,200,0.4515,66.67%,balkon bodenbelag fliesen,wer hat mit der firma daniel strauß erfahrung gesammelt? es geht um balkonversiegelung.,https://www.gutefrage.net/frage/wer-hat-mit-der-firma-daniel-strauss-erfahrung-gesammelt-es-geht-um-balkonversiegelung
2008-10-14,2008-10-14T20:11:30+02:00,200,0.4019,50.00%,terrassenfliesen reinigen,"kann man seine lunge irgendwie ""reinigen""?",https://www.gutefrage.net/frage/kann-man-seine-lunge-irgendwie-reinigen
2008-07-24,2008-07-24T14:22:40+02:00,200,0.3702,50.00%,terrassenfliesen reinigen,wie kann ich das armband einer titanarmarmbanduhr reinigen?,https://www.gutefrage.net/frage/wie-kann-ich-das-armband-einer-titanarmarmbanduhr-reinigen
2008-07-09,2008-07-09T16:45:36+02:00,200,0.3707,50.00%,terrassenfliesen reinigen,wie reinigt man fotos?,https://www.gutefrage.net/frage/wie-reinigt-man-fotos
2008-04-29,2008-04-29T14:57:56+02:00,200,0.3750,50.00%,terrassenfliesen reinigen,wie kann man seine querflöte mal richtig reinigen?,https://www.gutefrage.net/frage/wie-kann-man-seine-querfloete-mal-richtig-reinigen
2007-10-22,2007-10-22T20:57:27+02:00,200,0.4760,66.67%,balkon bodenbelag fliesen,kann man hässliche fliesen einfach neu lackieren? hält der lack dauerhaft?,https://www.gutefrage.net/frage/kann-man-haessliche-fliesen-einfach-neu-lackieren-haelt-der-lack-dauerhaft
2007-09-16,2007-09-16T21:49:12+02:00,200,0.4667,66.67%,holz klickfliesen balkon,kann ich einen eichetisch im winter auf dem balkon stehen lassen?,https://www.gutefrage.net/frage/kann-ich-einen-eichetisch-im-winter-auf-dem-balkon-stehen-lassen
